Time (h);U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Utot (V);J (A/cmｲ);I (A);TinH2 (ｰC);ToutH2 (ｰC);TinAIR (ｰC);ToutAIR (ｰC);TinWAT (ｰC);ToutWAT (ｰC);PinAIR (mbara);PoutAIR (mbara);PoutH2 (mbara);PinH2 (mbara);DinH2 (l/mn);DoutH2 (l/mn);DinAIR (l/mn);DoutAIR (l/mn);DWAT (l/mn);HrAIRFC (%)
505,1408675;0,653;0,648;0,647;0,647;0,635;3,179;0,70066;70,066;27,017;40,366;46,887;50,532;53,001;54,772;1301,067;1271,707;1305,718;1295,85;4,796;1,787;23,034;21,206;2,029;53,755
505,1412008;0,653;0,648;0,647;0,647;0,635;3,178;0,70071;70,071;27,037;40,377;46,88;50,519;52,988;54,757;1300,441;1271,309;1307,315;1297,615;4,795;1,788;23,038;21,208;2,029;53,754
505,1415336;0,653;0,648;0,647;0,647;0,635;3,179;0,70066;70,066;27,032;40,37;46,876;50,525;52,996;54,747;1300,896;1271,309;1309,083;1299,096;4,814;1,788;23,036;21,2;2,005;53,788
505,1418675;0,654;0,648;0,646;0,648;0,635;3,179;0,70061;70,061;27,032;40,367;46,882;50,515;52,981;54,72;1301,124;1271,252;1310,395;1300,805;4,796;1,807;23,036;21,204;2,002;53,862
505,1422083;0,654;0,648;0,646;0,647;0,635;3,18;0,70076;70,076;27,032;40,341;46,883;50,498;52,993;54,726;1301,18;1271,423;1311,763;1301,944;4,796;1,806;23,034;21,211;1,97;53,84
505,1425336;0,654;0,648;0,647;0,648;0,635;3,18;0,70066;70,066;27,035;40,359;46,883;50,498;52,996;54,709;1301,18;1271,195;1313,702;1303,368;4,795;1,807;23,036;21,198;1,97;53,856
505,1428678;0,65;0,645;0,643;0,644;0,631;3,16;0,71248;71,248;27,03;40,341;46,89;50,492;53,029;54,691;1301,294;1271,309;1314,843;1304,735;4,794;1,828;23,036;21,204;1,968;53,957
505,1432033;0,651;0,646;0,643;0,645;0,632;3,168;0,70945;70,945;27,04;40,35;46,883;50,468;53,035;54,688;1301,408;1271,024;1315,926;1305,704;4,793;1,852;23,036;21,141;2,022;53,947
505,1435344;0,652;0,647;0,645;0,646;0,633;3,171;0,70764;70,764;27,047;40,341;46,885;50,468;53,052;54,691;1301,294;1271,081;1316,896;1306,672;4,793;1,869;23,036;21,151;2,021;53,953
505,1438681;0,651;0,646;0,644;0,645;0,633;3,16;0,71287;71,287;27,035;40,348;46,876;50,461;53,069;54,707;1301,863;1271,764;1317,352;1307,184;4,795;1,885;23,038;21,141;1,998;53,896
505,1442125;0,655;0,649;0,647;0,648;0,636;3,184;0,69924;69,924;27,034;40,356;46,873;50,468;53,064;54,706;1303,399;1274,04;1318,265;1308,096;4,794;1,909;23,034;20,982;1,983;53,887
505,1445344;0,652;0,647;0,645;0,646;0,633;3,172;0,70676;70,676;27,029;40,37;46,859;50,468;53,079;54,706;1304,593;1274,837;1319,348;1308,324;4,795;1,932;23,038;20,982;1,984;53,904
505,1448672;0,655;0,649;0,647;0,649;0,636;3,185;0,6991;69,91;27,041;40,379;46,87;50,459;53,078;54,714;1305,731;1275,634;1319,69;1309,349;4,793;1,952;23,034;20,991;1,994;53,912
505,1452014;0,655;0,649;0,647;0,648;0,636;3,183;0,70012;70,012;27,056;40,394;46,864;50,453;53,072;54,705;1306,755;1276,829;1320,546;1309,691;4,793;1,971;23,036;20,991;1,99;53,923
505,1455358;0,655;0,65;0,648;0,649;0,637;3,187;0,69773;69,773;27,049;40,402;46,873;50,476;53,081;54,716;1306,869;1277,227;1321,173;1310,317;4,795;1,99;23,038;21,001;1,978;53,955
505,1458681;0,656;0,65;0,649;0,649;0,637;3,188;0,69768;69,768;27,052;40,388;46,865;50,451;53,091;54,715;1305,674;1274,837;1321,23;1310,83;4,795;1,991;23,038;21,266;1,961;53,958
505,1462014;0,655;0,649;0,647;0,648;0,636;3,185;0,69963;69,963;27,04;40,407;46,865;50,481;53,092;54,712;1304,536;1273,927;1321,629;1311,058;4,796;2,011;23,034;21,327;2,005;53,887
505,1465353;0,655;0,65;0,649;0,649;0,636;3,187;0,69846;69,846;27,044;40,408;46,858;50,446;53,11;54,71;1304,024;1273,358;1321,743;1311,57;4,796;2,03;23,034;21,333;2,004;53,892
505,1468719;0,655;0,65;0,649;0,649;0,636;3,187;0,69783;69,783;27,046;40,395;46,88;50,457;53,098;54,739;1303,513;1273,358;1322,257;1311,684;4,795;2,027;23,036;21,331;1,973;53,847
505,1472008;0,655;0,649;0,649;0,649;0,636;3,187;0,69768;69,768;27,041;40,394;46,856;50,476;53,072;54,714;1303,228;1272,504;1322,827;1311,798;4,795;2,027;23,036;21,331;1,999;53,781
505,1475339;0,655;0,65;0,649;0,649;0,636;3,187;0,69783;69,783;27,06;40,415;46,87;50,469;53,109;54,721;1302,716;1271,878;1322,884;1312,14;4,796;2,047;23,036;21,301;2,016;53,859
505,1478689;0,655;0,649;0,649;0,648;0,636;3,187;0,69768;69,768;27,055;40,403;46,861;50,477;53,126;54,724;1302,204;1271,764;1322,941;1312,425;4,794;2,068;23,036;21,268;1,983;53,878
505,148205;0,655;0,65;0,65;0,649;0,637;3,187;0,69768;69,768;27,061;40,406;46,853;50,45;53,102;54,738;1302,261;1271,252;1322,884;1312,482;4,815;2,086;23,11;21,257;1,994;53,848
505,1485353;0,655;0,649;0,649;0,648;0,636;3,187;0,69758;69,758;27,047;40,421;46,868;50,471;53,114;54,735;1301,977;1271,309;1322,941;1312,197;4,796;2,091;23,036;21,268;2,006;53,809
505,1488694;0,655;0,649;0,649;0,649;0,636;3,187;0,69768;69,768;27,055;40,406;46,858;50,466;53,115;54,735;1301,977;1271,024;1322,941;1312,14;4,807;2,091;23,036;21,27;1,998;53,812
505,1492028;0,655;0,65;0,649;0,648;0,636;3,187;0,69768;69,768;27,058;40,41;46,871;50,463;53,106;54,757;1301,522;1270,967;1322,827;1312,425;4,812;2,11;23,034;21,263;1,987;53,789
505,1495356;0,655;0,649;0,649;0,648;0,636;3,187;0,69768;69,768;27,069;40,412;46,874;50,456;53,114;54,749;1301,522;1270,854;1322,941;1311,798;4,795;2,112;23,036;21,209;1,994;53,801
505,1498681;0,655;0,65;0,649;0,649;0,636;3,187;0,69768;69,768;27,061;40,392;46,861;50,445;53,121;54,756;1301,294;1270,854;1322,941;1311,912;4,793;2,13;23,032;21,232;1,997;53,755
505,1502031;0,655;0,649;0,649;0,648;0,636;3,187;0,69763;69,763;27,06;40,386;46,864;50,449;53,112;54,763;1301,522;1270,342;1322,827;1311,627;4,795;2,13;23,036;21,209;1,994;53,715
505,1505375;0,655;0,649;0,649;0,648;0,636;3,187;0,69763;69,763;27,063;40,406;46,865;50,462;53,141;54,776;1301,351;1270,74;1322,599;1311,627;4,794;2,131;23,036;21,27;1,986;53,758
505,1508694;0,655;0,65;0,649;0,649;0,636;3,186;0,69763;69,763;27,061;40,408;46,858;50,458;53,134;54,761;1301,124;1270;1322,599;1311,456;4,795;2,13;23,036;21,217;2,001;53,76
505,1512017;0,655;0,649;0,649;0,648;0,636;3,187;0,69763;69,763;27,066;40,395;46,867;50,469;53,154;54,778;1301,351;1270,171;1322,2;1311,342;4,795;2,13;23,032;21,2;2;53,705
505,1515392;0,655;0,649;0,649;0,648;0,636;3,187;0,69778;69,778;27,079;40,394;46,859;50,456;53,152;54,782;1301,465;1270,455;1321,686;1310,659;4,795;2,13;23,036;21,223;2,007;53,748
505,1518697;0,655;0,649;0,649;0,648;0,636;3,187;0,69783;69,783;27,064;40,408;46,861;50,458;53,178;54,769;1301,18;1270,057;1321,8;1310,602;4,795;2,129;23,036;21,202;2,001;53,757
505,1522036;0,655;0,649;0,649;0,648;0,636;3,187;0,69787;69,787;27,072;40,372;46,867;50,464;53,192;54,778;1301,294;1269,943;1321,686;1310,602;4,797;2,127;23,034;21,213;1,993;53,745
505,1525353;0,655;0,65;0,649;0,648;0,636;3,187;0,69773;69,773;27,073;40,4;46,859;50,462;53,206;54,8;1301,01;1269,943;1321,515;1310,374;4,796;2,13;23,034;21,204;1,979;53,73
505,1528681;0,655;0,649;0,649;0,648;0,636;3,186;0,69792;69,792;27,07;40,395;46,856;50,492;53,192;54,806;1301,237;1269,943;1320,831;1310,089;4,795;2,15;23,036;21,194;1,98;53,646
505,1532019;0,655;0,649;0,649;0,649;0,636;3,186;0,69797;69,797;27,061;40,395;46,859;50,466;53,207;54,801;1301,294;1269,943;1320,66;1309,577;4,797;2,171;23,036;21,196;2,008;53,622
505,1535361;0,655;0,649;0,649;0,648;0,636;3,186;0,69773;69,773;27,082;40,389;46,861;50,484;53,206;54,815;1301,124;1270,114;1320,318;1309,178;4,796;2,171;23,034;21,206;1,992;53,647
505,1538697;0,655;0,649;0,649;0,649;0,636;3,185;0,69812;69,812;27,07;40,394;46,853;50,486;53,209;54,832;1301,408;1269,943;1320,318;1308,551;4,795;2,171;23,036;21,206;1,982;53,574
505,1542033;0,655;0,649;0,649;0,648;0,636;3,184;0,6987;69,87;27,081;40,371;46,854;50,489;53,209;54,803;1302,034;1270,285;1319,519;1308,267;4,796;2,17;23,036;21,198;1,998;53,645
505,1545378;0,654;0,649;0,648;0,648;0,636;3,184;0,6988;69,88;27,066;40,385;46,841;50,513;53,218;54,821;1301,92;1270,114;1319,405;1308,039;4,793;2,171;23,036;21,204;1,978;53,607
505,1548703;0,654;0,648;0,648;0,647;0,635;3,182;0,70066;70,066;27,076;40,369;46,865;50,497;53,214;54,855;1301,579;1270,057;1318,778;1307,412;4,794;2,171;23,036;21,206;2,004;53,581
505,1552025;0,654;0,648;0,648;0,647;0,635;3,182;0,70071;70,071;27,069;40,369;46,854;50,488;53,214;54,829;1301,863;1270,626;1318,265;1306,843;4,795;2,171;23,036;21,219;2,011;53,631
505,1555369;0,654;0,648;0,648;0,648;0,635;3,18;0,70076;70,076;27,067;40,365;46,851;50,51;53,204;54,839;1301,806;1270,228;1318,208;1306,729;4,796;2,171;23,038;21,198;2,001;53,575
