fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,79E-03;-6,73E-03
8,92E+03;4,79E-03;-5,98E-03
7,95E+03;4,79E-03;-5,30E-03
7,09E+03;4,79E-03;-4,71E-03
6,32E+03;4,79E-03;-4,17E-03
5,63E+03;4,80E-03;-3,67E-03
5,02E+03;4,80E-03;-3,23E-03
4,48E+03;4,82E-03;-2,85E-03
3,99E+03;4,84E-03;-2,49E-03
3,56E+03;4,84E-03;-2,18E-03
3,17E+03;4,85E-03;-1,88E-03
2,83E+03;4,87E-03;-1,62E-03
2,52E+03;4,87E-03;-1,38E-03
2,25E+03;4,89E-03;-1,16E-03
2,00E+03;4,91E-03;-9,62E-04
1,79E+03;4,93E-03;-7,79E-04
1,59E+03;4,95E-03;-6,12E-04
1,42E+03;4,98E-03;-4,42E-04
1,27E+03;5,00E-03;-3,03E-04
1,13E+03;5,04E-03;-1,64E-04
1,01E+03;5,07E-03;-1,22E-05
8,97E+02;5,02E-03;1,67E-04
8,00E+02;5,06E-03;2,85E-04
7,13E+02;5,10E-03;3,95E-04
6,36E+02;5,13E-03;4,97E-04
5,67E+02;5,17E-03;6,22E-04
5,05E+02;5,22E-03;7,29E-04
4,51E+02;5,25E-03;8,54E-04
4,02E+02;5,31E-03;9,54E-04
3,58E+02;5,36E-03;1,08E-03
3,19E+02;5,41E-03;1,21E-03
2,85E+02;5,47E-03;1,36E-03
2,54E+02;5,53E-03;1,48E-03
2,26E+02;5,60E-03;1,67E-03
2,02E+02;5,70E-03;1,85E-03
1,80E+02;5,76E-03;2,02E-03
1,60E+02;5,87E-03;2,20E-03
1,43E+02;5,94E-03;2,41E-03
1,27E+02;6,11E-03;2,64E-03
1,14E+02;6,24E-03;2,91E-03
1,01E+02;6,41E-03;3,17E-03
9,03E+01;6,57E-03;3,48E-03
8,05E+01;6,81E-03;3,73E-03
7,18E+01;7,07E-03;4,04E-03
6,40E+01;7,42E-03;4,35E-03
5,69E+01;7,89E-03;4,74E-03
5,05E+01;8,36E-03;5,12E-03
4,47E+01;8,79E-03;5,39E-03
3,94E+01;9,33E-03;5,75E-03
3,46E+01;9,95E-03;6,04E-03
3,03E+01;1,07E-02;6,29E-03
2,64E+01;1,14E-02;6,58E-03
2,30E+01;1,23E-02;6,69E-03
1,99E+01;1,31E-02;6,76E-03
1,71E+01;1,40E-02;6,65E-03
1,47E+01;1,49E-02;6,50E-03
1,25E+01;1,57E-02;6,30E-03
1,06E+01;1,65E-02;5,97E-03
8,98E+00;1,73E-02;5,63E-03
7,53E+00;1,79E-02;5,28E-03
6,27E+00;1,86E-02;4,82E-03
5,18E+00;1,93E-02;4,41E-03
4,25E+00;1,94E-02;3,98E-03
3,45E+00;1,99E-02;3,55E-03
2,78E+00;2,03E-02;3,34E-03
2,21E+00;2,06E-02;3,17E-03
1,74E+00;2,09E-02;3,07E-03
1,36E+00;2,13E-02;3,36E-03
1,04E+00;2,15E-02;3,11E-03
7,89E-01;2,24E-02;2,93E-03
5,88E-01;2,30E-02;2,49E-03
4,32E-01;2,36E-02;2,25E-03
3,12E-01;2,41E-02;1,74E-03
2,22E-01;2,42E-02;1,27E-03
1,55E-01;2,42E-02;7,03E-04
1,07E-01;2,43E-02;3,99E-04
7,34E-02;2,43E-02;5,44E-05
5,00E-02;2,45E-02;7,89E-05
